column_name,description,data_type
ResearchSubject.Diagnosis.Treatment.treatment_effect,The effect of a treatment on the diagnosis or tumor.,STRING
ResearchSubject.Diagnosis.Treatment.treatment_end_reason,The reason the treatment ended.,STRING
ResearchSubject.Diagnosis.Treatment.number_of_cycles,The number of treatment cycles the subject received.,INT64
ResearchSubject.Specimen,"Any material taken as a sample from a biological entity (living or dead), or from a physical object or the environment. Specimens are usually collected as an example of their kind, often for use in some investigation.",
ResearchSubject.Specimen.id,"The 'logical' identifier of the entity in the system of record, e.g. a UUID. This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system.",STRING
ResearchSubject.Specimen.identifier,"A 'business' identifier or accession number for the entity, typically as provided by an external system or authority, that persists across implementing systems (i.e. a 'logical' identifier).","ARRAY<STRUCT<system STRING, value STRING>>"
ResearchSubject.Specimen.identifier.system,The system or namespace that defines the identifier.,STRING
ResearchSubject.Specimen.identifier.value,"The value of the identifier, as defined by the system.",STRING
ResearchSubject.Specimen.associated_project,The Project associated with the specimen.,STRING
ResearchSubject.Specimen.days_to_collection,"The number of days from the index date to either the date a sample was collected for a specific study or project, or the date a patient underwent a procedure (e.g. surgical resection) yielding a sample that was eventually used for research.",INT64
ResearchSubject.Specimen.primary_disease_type,"The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This attribute represents the disease that qualified the subject for inclusion on the ResearchProject.",STRING
ResearchSubject.Specimen.anatomical_site,"Per GDC Dictionary, the text term that represents the name of the primary disease site of the submitted tumor sample; recommend dropping tumor; biospecimen_anatomic_site.",STRING
ResearchSubject.Specimen.source_material_type,"The general kind of material from which the specimen was derived, indicating the physical nature of the source material.",STRING
ResearchSubject.Specimen.specimen_type,"The high-level type of the specimen, based on its how it has been derived from the original extracted sample.
",STRING
ResearchSubject.Specimen.derived_from_specimen,A source/parent specimen from which this one was directly derived.,STRING
ResearchSubject.Specimen.derived_from_subject,"The Patient/ResearchSubject, or Biologically Derived Materal (e.g. a cell line, tissue culture, organoid) from which the specimen was directly or indirectly derived.",STRING
ResearchSubject.Specimen.Files,List of ids of File entities associated with the Specimen,ARRAY<STRING>
